Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Stops,Total_Distance_km
97227,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97228,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97229,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97230,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97231,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97232,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97233,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97234,DI,DOMBIVLI,DR,DADAR,15,39
97235,DR,DADAR,DI,DOMBIVLI,15,39
97236,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97237,DR,DADAR,DI,DOMBIVLI,15,39
97238,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97239,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97240,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97241,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97242,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97243,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97244,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97245,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97246,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97247,DR,DADAR,DI,DOMBIVLI,15,39
97248,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97249,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97250,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97251,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97252,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97253,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97254,DI,DOMBIVLI,DR,DADAR,15,39
97255,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97256,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97258,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97260,DI,DOMBIVLI,DR,DADAR,15,39
97301,CSMT,CST-MUMBAI,TNA,THANE,17,33
97302,TNA,THANE,CSMT,CST-MUMBAI,17,33
97303,CSMT,CST-MUMBAI,TNA,THANE,17,33
97304,TNA,THANE,CSMT,CST-MUMBAI,17,33
